"Delivery Methods","Delivery Methods"
"The customer has been notified and shipment created.","The customer has been notified and shipment created."
"We can't notify the customer right now.","We can't notify the customer right now."
"Notify Order is Ready for Pickup","Notify Order is Ready for Pickup"
"Frontend Description","Frontend Description"
"Pickup Location Name visible for the customer on checkout.","Pickup Location Name visible for the customer on checkout."
"Pickup Location","Pickup Location"
"Frontend Name","Frontend Name"
"The Default Source can not be used for In-Store Pickup delivery.","The Default Source can not be used for In-Store Pickup delivery."
