"PickupLocation type not defined in schema.","PickupLocation type not defined in schema."
"Region or city or postcode must be specified for the filter by distance.","Region or city or postcode must be specified for the filter by distance."
"currentPage value must be greater than 0.","currentPage value must be greater than 0."
"pageSize value must be greater than 0.","pageSize value must be greater than 0."
"currentPage value %1 specified is greater than the %2 page(s) available.","currentPage value %1 specified is greater than the %2 page(s) available."
