"All unassigned sales channels will be assigned to the Default Stock","All unassigned sales channels will be assigned to the Default Stock"
"No manage stock","No manage stock"
"Sales Channels","Sales Channels"
Websites,Websites
"Product Salable Quantity","Product Salable Quantity"
"Salable Quantity","Salable Quantity"
"Aggregated inventory available to purchase for a stock. The amount aggregates assigned source's Quantity subtracting the Out-of-Stock Threshold (or MinQty)", "Aggregated inventory available to purchase for a stock. The amount aggregates assigned source's Quantity subtracting the Out-of-Stock Threshold (or MinQty)"
